Code ,Area,Number_FLOE,First_Lang_Other_Eng_Percentage,Number_FLE,First_Lang_Eng_Percentage,Number_UN,Unclassified_Percentage,,,Number_FLOES,First_Lang_Other_Eng_Percentage_Sec,Number_FLES,First_Lang_Eng_Percentage_Sec,Number_UNS,Unclassified_Percentage_Sec,
E09000028,Southwark,"7,217",42.3,"9,755",57.1,100,0.6,"17,070",,"5,271",40.1,"7,690",58.5,185,1.4,"13,145"
E09000029,Sutton,"2,232",19.4,"9,279",80.5,11,0.1,"11,520",,"2,635",15.3,"14,480",84.3,54,0.3,"17,170"
E09000030,Tower Hamlets,"13,813",77.8,"3,910",22,25,0.1,"17,750",,"10,549",70.4,"4,322",28.8,114,0.8,"14,985"
E09000031,Waltham Forest,"9,024",52.7,"7,996",46.7,115,0.7,"17,135",,"6,085",41.5,"8,510",58.1,58,0.4,"14,655"
E09000032,Wandsworth,"5,837",43.9,"7,455",56,9,0.1,"13,300",,"4,711",41.1,"6,693",58.4,53,0.5,"11,455"
E09000033,Westminster,"6,285",71.4,"2,515",28.6,6,0.1,"8,805",,"5,987",64.9,"3,194",34.6,41,0.4,"9,220"
,,,,,,,,,,,,,,,,
UKI1,Inner London,"97,785",55.3,"78,555",44.4,585,0.3,"176,920",,"70,230",48.9,"71,830",50,"1,580",1.1,"143,640"
UKI2,Outer London,"130,015",40.4,"190,650",59.3,855,0.3,"321,525",,"101,180",32,"211,550",67,"2,995",0.9,"315,725"
,,,,,,,,,,,,,,,,
E12000001,North East,"8,570",5.7,"142,305",94.3,50,0,"150,925",,"6,235",3.8,"159,820",96.2,135,0.1,"166,195"
E12000002,North West,"55,260",12.2,"396,990",87.7,545,0.1,"452,795",,"35,460",8.2,"393,835",91.4,"1,370",0.3,"430,665"
E12000003,Yorkshire and the Humber,"50,290",14.9,"285,975",85,215,0.1,"336,480",,"31,540",9.6,"297,750",90.3,610,0.2,"329,900"
E12000004,East Midlands,"30,100",10.8,"248,920",89.1,465,0.2,"279,485",,"23,720",8.1,"267,725",91.6,680,0.2,"292,125"
E12000005,West Midlands,"68,420",18.9,"293,185",80.9,735,0.2,"362,340",,"49,845",13.8,"310,475",85.8,"1,420",0.4,"361,740"
E12000006,East,"37,775",10.8,"312,620",89.1,570,0.2,"350,965",,"29,015",7.5,"356,885",92.2,"1,265",0.3,"387,165"
E12000007,London,"227,800",45.7,"269,205",54,"1,440",0.3,"498,445",,"171,410",37.3,"283,375",61.7,"4,575",1,"459,360"
E12000008,South East,"53,380",10.3,"466,120",89.7,410,0.1,"519,905",,"40,745",8,"465,915",91.6,"2,205",0.4,"508,865"
E12000009,South West,"15,435",5.1,"288,750",94.8,485,0.2,"304,670",,"11,575",3.6,"310,825",96.3,390,0.1,"322,790"
,,,,,,,,,,,,,,,,
E92000001,England,"547,030",16.8,"2,704,060",83,"4,920",0.2,"3,256,015",,"399,550",12.3,"2,846,615",87.4,"12,645",0.4,"3,258,805"
