Code ,Area,Number_FLOE,First_Lang_Other_Eng_Percentage,Number_FLE,First_Lang_Eng_Percentage,Number_UN,Unclassified_Percentage,,,Number_FLOES,First_Lang_Other_Eng_Percentage_Sec,Number_FLES,First_Lang_Eng_Percentage_Sec,Number_UNS,Unclassified_Percentage_Sec,
00BD,Richmond upon Thames,"1,854",17.2,"8,870",82.4,40,0.4,"10,760",,"1,136",17,"5,491",82,66,1,"6,690"
00BE,Southwark,"6,668",40.4,"9,735",58.9,118,0.7,"16,520",,"5,442",41.8,"7,472",57.3,120,0.9,"13,030"
00BF,Sutton,"1,869",16.5,"9,471",83.5,6,0.1,"11,350",,"2,225",13.3,"14,375",86.2,73,0.4,"16,670"
00BG,Tower Hamlets,"13,129",77.7,"3,752",22.2,19,0.1,"16,900",,"10,150",70,"4,191",28.9,152,1,"14,490"
00BH,Waltham Forest,"8,134",48.4,"8,433",50.1,256,1.5,"16,820",,"5,450",39.2,"8,350",60.1,86,0.6,"13,890"
00BJ,Wandsworth,"5,568",42.5,"7,512",57.3,33,0.3,"13,110",,"4,284",37.6,"7,004",61.4,118,1,"11,410"
00BK,Westminster,"5,778",69.5,"2,537",30.5,x,x,"8,320",,"5,214",61.1,"3,307",38.7,16,0.2,"8,540"
,,,,,,,,,,,,,,,,
1B,Inner London,"92,270",54.1,"77,880",45.6,480,0.3,"170,640",,"67,070",48.5,"69,860",50.5,"1,390",1,"138,330"
1C,Outer London,"116,600",37.3,"194,940",62.4,"1,110",0.4,"312,650",,"93,220",30.3,"211,050",68.6,"3,300",1.1,"307,570"
,,,,,,,,,,,,,,,,
A,North East,"7,670",5,"144,240",94.9,60,0,"151,960",,"5,510",3.2,"165,030",96.7,150,0.1,"170,680"
B,North West,"49,940",11,"402,170",88.9,420,0.1,"452,530",,"32,730",7.5,"404,540",92.2,"1,550",0.4,"438,810"
D,Yorkshire and the Humber,"45,350",13.6,"289,000",86.4,260,0.1,"334,600",,"28,780",8.6,"305,210",91.2,680,0.2,"334,660"
E,East Midlands,"27,340",9.7,"253,290",90.1,500,0.2,"281,130",,"21,270",7.2,"271,950",92.5,740,0.3,"293,960"
F,West Midlands,"63,200",17.6,"295,580",82.1,"1,060",0.3,"359,830",,"46,720",12.8,"317,390",86.8,"1,420",0.4,"365,540"
G,East,"31,720",9.2,"314,160",90.7,390,0.1,"346,270",,"24,640",6.3,"362,790",93.2,"1,850",0.5,"389,280"
H,London,"208,880",43.2,"272,820",56.5,"1,590",0.3,"483,280",,"160,290",35.9,"280,910",63,"4,700",1.1,"445,900"
J,South East,"45,390",8.8,"468,090",91,710,0.1,"514,200",,"34,560",6.8,"470,930",92.8,"2,090",0.4,"507,570"
K,South West,"12,910",4.2,"292,020",95.6,590,0.2,"305,520",,"9,780",3,"312,810",96.8,530,0.2,"323,130"
,,,,,,,,,,,,,,,,
921,England,"492,390",15.2,"2,731,360",84.6,"5,570",0.2,"3,229,320",,"364,280",11.1,"2,891,550",88.4,"13,710",0.4,"3,269,540"
